I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@dd65; boundsInParent: Rect(0, 0 - 95, 210); boundsInScreen: Rect(245, 979 - 340, 1189); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img33; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@9251; boundsInParent: Rect(0, 0 - 89, 28); boundsInScreen: Rect(248, 1202 - 337, 1230); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: Statistic; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt331; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@e126; boundsInParent: Rect(0, 0 - 95, 210); boundsInScreen: Rect(350, 979 - 445, 1189); packageName: com.a1.quiz.ged.free; className: android.widget.ImageView; text: null; contentDescription: GED Test Complete; viewIdResName: com.a1.quiz.ged.free:id/img34; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@9612; boundsInParent: Rect(0, 0 - 89, 52); boundsInScreen: Rect(353, 1202 - 442, 1254); packageName: com.a1.quiz.ged.free; className: android.widget.TextView; text: My favorite; contentDescription: null; viewIdResName: com.a1.quiz.ged.free:id/txt341; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@960d; boundsInParent: Rect(0, 0 - 480, 609); boundsInScreen: Rect(-959, 96 - -479, 705); packageName: com.android.launcher; className: android.view.View; text: null; contentDescription: Home screen 1; viewIdResName: com.android.launcher:id/cell1; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: true; longClickable: true; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_LONG_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@ca9b; boundsInParent: Rect(0, 0 - 89, 123); boundsInScreen: Rect(-467, 567 - -378, 690); packageName: com.android.settings; className: android.widget.LinearLayout; text: null; contentDescription: Wi‑Fi off; viewIdResName: com.android.settings:id/btn_wifi; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@ce5c; boundsInParent: Rect(0, 0 - 89, 123); boundsInScreen: Rect(-376, 567 - -287, 690); packageName: com.android.settings; className: android.widget.LinearLayout; text: null; contentDescription: Bluetooth turning off; viewIdResName: com.android.settings:id/btn_bluetooth; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@d21d; boundsInParent: Rect(0, 0 - 90, 123); boundsInScreen: Rect(-285, 567 - -195, 690); packageName: com.android.settings; className: android.widget.LinearLayout; text: null; contentDescription: Location on; viewIdResName: com.android.settings:id/btn_location; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@d5de; boundsInParent: Rect(0, 0 - 90, 123); boundsInScreen: Rect(-193, 567 - -103, 690); packageName: com.android.settings; className: android.widget.LinearLayout; text: null; contentDescription: Sync on; viewIdResName: com.android.settings:id/btn_sync; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
I/AccessibilityService( 1147): TREE_RESULT -> Current Node = android.view.accessibility.AccessibilityNodeInfo@d99f; boundsInParent: Rect(0, 0 - 90, 123); boundsInScreen: Rect(-101, 567 - -11, 690); packageName: com.android.settings; className: android.widget.LinearLayout; text: null; contentDescription: Brightness half; viewIdResName: com.android.settings:id/btn_brightness; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]
